LUCODE,PARUSEDESC,DESCRIPT,LUGEN_CODE,LUGEN_DESCRIPT,FGDLAQDATE
051,CROPLAND SOIL CAPABILITY CLASS I,CROPLAND SOIL CLASS 1,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
052,CROPLAND SOIL CAPABILITY CLASS II,CROPLAND SOIL CLASS 2,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
053,CROPLAND SOIL CAPABILITY CLASS III,CROPLAND SOIL CLASS 3,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
054,TIMBERLAND - SITE INDEX 90 AND ABOVE,TIMBERLAND,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
055,TIMBERLAND - SITE INDEX 80 TO 89,TIMBERLAND,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
056,TIMBERLAND - SITE INDEX 70 TO 79,TIMBERLAND,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
057,TIMBERLAND - SITE INDEX 60 TO 69,TIMBERLAND,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
058,TIMBERLAND - SITE INDEX 50 TO 59,TIMBERLAND,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
059,TIMBERLAND NOT CLASSIFIED BY SITE INDEX TO PINES,TIMBERLAND,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
060,GRAZING LAND SOIL CAPABILITY CLASS I,GRAZING LAND SOIL CLASS 1,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
061,GRAZING LAND SOIL CAPABILITY CLASS II,GRAZING LAND SOIL CLASS 2,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
062,GRAZING LAND SOIL CAPABILITY CLASS III,GRAZING LAND SOIL CLASS 3,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
063,GRAZING LAND SOIL CAPABILITY CLASS IV,GRAZING LAND SOIL CLASS 4,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
064,GRAZING LAND SOIL CAPABILITY CLASS V,GRAZING LAND SOIL CLASS 5,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
065,GRAZING LAND SOIL CAPABILITY CLASS VI,GRAZING LAND SOIL CLASS 6,2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
066,"ORCHARD GROVES, CITRUS, ETC","ORCHARD, GROVES, CITRUS",2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
067,"POULTRY, BEES, TROPICAL FISH, RABBITS, ETC.","POULTRY, BEES, TROPICAL FISH, RABBITS, ETC",2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
068,"DAIRIES, FEED LOTS","DAIRIES, FEED LOTS",2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
069,"ORNAMENTALS, MISCELLANEOUS AGRICULTURAL","ORNAMENTALS, MISC. AGRICULTURE",2.000000000000000,AGRICULTURAL,9/10/2024 0:00:00
070,"VACANT INSTITUTIONAL, WITH OR WITHOUT EXTRA FEATURES",VACANT INSTITUTIONAL,13.000000000000000,VACANT NONRESIDENTIAL,9/10/2024 0:00:00
071,CHURCHES,CHURCHES,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
072,PRIVATE SCHOOLS AND COLLEGES,PRIVATE SCHOOLS,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
073,PRIVATELY OWNED HOSPITALS,PRIVATE HOSPITALS,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
074,HOMES FOR THE AGED,HOMES FOR AGED,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
075,"ORPHANAGES, OTHER NON-PROFIT OR CHARITABLE SERVICES",ORPHANAGES,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
076,"MORTUARIES, CEMETERIES, CREMATORIUMS","MORTUARIES, CEMETERIES",5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
077,"CLUBS, LODGES, UNION HALLS","CLUBS, LODGES, AND UNION HALLS",5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
078,"SANITARIUMS, CONVALESCENT AND REST HOMES","SANITARIUMS, CONVALESCENT, AND BEST HOMES",5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
079,"CULTURAL ORGANIZATIONS, FACILITIES",CULTURAL ORGANIZATIONS,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
080,VACANT GOVERNMENTAL,VACANT GOVERNMENTAL,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
081,MILITARY,MILITARY,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
082,"FOREST, PARKS, RECREATIONAL AREAS","FOREST, PARK, AND RECREATIONAL AREAS",10.000000000000000,RECREATION,9/10/2024 0:00:00
083,PUBLIC COUNTY SCHOOLS - INCLUDING ALL PROPERTY OF BOARD OF PUBLIC INSTRUCTION,PUBLIC SCHOOLS,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
084,COLLEGES (NON-PRIVATE),COLLEGES,5.000000000000000,INSTITUTIONAL,9/10/2024 0:00:00
085,HOSPITALS (NON-PRIVATE),PUBLIC HOSPITALS,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
086,"COUNTIES (OTHER THAN PUBLIC SCHOOLS, COLLEGES, HOSPITALS) INCLUDING NON-MUNICIPAL GOVERNMENT",OTHER COUNTIES,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
087,"STATE, OTHER THAN MILITARY, FORESTS, PARKS, RECREATIONAL AREAS, COLLEGES, HOSPITALS",OTHER STATE,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
088,"FEDERAL, OTHER THAN MILITARY, FORESTS, PARKS, RECREATIONAL AREAS, HOSPITALS, COLLEGES",OTHER FEDERAL,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
089,"MUNICIPAL, OTHER THAN PARKS, RECREATIONAL AREAS, COLLEGES, HOSPITALS",OTHER MUNICIPAL,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
090,LEASEHOLD INTERESTS (GOVERNMENT-OWNED PROPERTY LEASED BY A NON-GOVERNMENTAL LESSEE),GOV. OWNED LEASED BY NON-GOV. LESSEE,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
091,"UTILITY, GAS AND ELECTRICITY, TELEPHONE AND TELEGRAPH, LOCALLY ASSESSED RAILROADS, WATER AND SEWER SERVICE, PIPELINES, CANALS, RADIO/TELEVISION COMMUNICATION",UTILITIES,8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
092,"MINING LANDS, PETROLEUM LANDS, OR GAS LANDS","MINING, PETROLEUM, AND GAS LANDS",6.000000000000000,MINING,9/10/2024 0:00:00
093,SUBSURFACE RIGHTS,SUBSURFACE RIGHTS,6.000000000000000,MINING,9/10/2024 0:00:00
094,"RIGHT-OF-WAY, STREETS, ROADS, IRRIGATION CHANNEL, DITCH, ETC.","RIGHTS-OF-WAY STREETS, ROADS, AND CANALS",9.000000000000000,ROW,9/10/2024 0:00:00
095,"RIVERS AND LAKES, SUBMERGED LANDS","RIVERS, LAKES, AND SUBMERGED LANDS",14.000000000000000,WATER,9/10/2024 0:00:00
096,"SEWAGE DISPOSAL, SOLID WASTE, BORROW PITS, DRAINAGE RESERVOIRS, WASTE LAND, MARSH, SAND DUNES, SWAMPS","SEWAGE DISPOSAL, BORROW PITS, AND WETLANDS",7.000000000000000,OTHER,9/10/2024 0:00:00
097,"OUTDOOR RECREATIONAL OR PARKLAND, OR HIGH-WATER RECHARGE SUBJECT TO CLASSIFIED USE ASSESSMENT",OUTDOOR RECREATIONAL,10.000000000000000,RECREATION,9/10/2024 0:00:00
098,CENTRALLY ASSESSED,CENTRALLY ASSESSED,3.000000000000000,CENTRALLY ASSESSED,9/10/2024 0:00:00
099,ACREAGE NOT ZONED AGRICULTURAL WITH OR WITHOUT EXTRA FEATURES,ACREAGE NOT ZONED FOR AGRICULTURAL,1.000000000000000,ACREAGE NOT ZONED FOR AGRICULTURE,9/10/2024 0:00:00
100,PARCELS WITH NO VALUES,PARCELS WITH NO VALUES,0.000000000000000,PARCELS WITH NO VALUES,9/10/2024 0:00:00
995,NO DATA AVAILABLE (WATER),NO DATA AVAILABLE (WATER),14.000000000000000,WATER,9/10/2024 0:00:00
999,NO DATA AVAILABLE,NO DATA AVAILABLE,16.000000000000000,NO DATA AVAILABLE,9/10/2024 0:00:00
101,PARCELS WITH NO VALUES (ROW),PARCELS WITH NO VALUES (ROW),9.000000000000000,ROW,9/10/2024 0:00:00
102,PARCELS WITH NO VALUES (WATER),PARCELS WITH NO VALUES (WATER),14.000000000000000,WATER,9/10/2024 0:00:00
103,PARCELS WITH NO VALUES (RAIL),PARCELS WITH NO VALUES (RAIL),8.000000000000000,PUBLIC/SEMI-PUBLIC,9/10/2024 0:00:00
